Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
Exam Response Analyzer - Detailed Subject-wise Analysis,1675,542,61.0,1241,1430,750,0.7220588235294118,142
Ghost-Hunter,1686,244,54.0,1279,1430,750,0.7779411764705882,153
Ghost-Hunter,1686,245,46.0,1279,1430,750,0.7779411764705882,153
Game 2048,1724,124,58.0,993,1430,750,0.3573529411764706,283
Todo List ,1727,232,7.0,948,1430,750,0.2911764705882353,212
Hackerman site,1742,552,341.0,1320,1430,752,0.8377581120943953,137
Milano Public Transport Tracker,1757,388,594.0,1299,1394,813,0.8364888123924269,64
 Product Showcase Website ,1762,146,38.0,1121,1430,750,0.5455882352941176,234
Colorfuller,1775,293,9.0,1136,1430,798,0.5348101265822784,91
Colorfuller,1775,294,12.0,1136,1430,798,0.5348101265822784,91
Portfolio Website,1779,134,15.0,915,1430,750,0.2426470588235294,247
Skill-icons,1814,167,17.0,1159,1430,750,0.6014705882352941,166
Skill-icons,1814,356,5.0,1159,1430,750,0.6014705882352941,166
Weather website ,1816,1071,19.0,877,1346,822,0.1049618320610687,51
EconoSim,1831,170,70.0,1039,1430,750,0.425,191
Typing Speed Test,1842,138,18.0,924,1430,750,0.25588235294117645,229
Getting to Philosophy,1856,189,29.0,1175,1369,813,0.6510791366906474,56
Typr.,1901,176,18.0,1373,1430,750,0.9161764705882353,236
Typr.,1901,221,31.0,1373,1430,750,0.9161764705882353,236
Aesthetic Timer,1909,725,190.0,1180,1430,787,0.6111975116640747,94
Special X O game,1935,178,39.0,1051,1420,809,0.3960720130932897,77
Special X O game,1935,344,1.0,1051,1420,809,0.3960720130932897,77
Special X O game,1935,346,1.0,1051,1420,809,0.3960720130932897,77
Web OS Gui,1948,857,190.0,1321,1394,813,0.8743545611015491,64
Personal Portfolio,1965,454,73.0,1040,1430,764,0.4144144144144144,108
Mango Meyham!,1968,153,83.0,970,1430,750,0.3235294117647059,221
Personal Website Portfolio,1970,500,14.0,937,1430,764,0.25975975975975973,108
Assignme,1973,307,251.0,1212,1430,750,0.6794117647058824,156
Speed,1992,507,78.0,1095,1430,750,0.5073529411764706,139
Crony,2004,158,38.0,1009,1430,750,0.38088235294117645,209
Oscillart-Play,2029,171,68.0,1096,1430,750,0.5088235294117647,185
Interactive Quiz Project,2038,163,14.0,1026,1430,750,0.40588235294117647,220
Celestialite,2043,680,89.0,1225,1340,913,0.7306791569086651,24
Puppy Party,2062,195,118.0,1187,1430,750,0.6426470588235295,201
Text Analyzer App,2065,166,14.0,965,1430,750,0.3161764705882353,196
Marble Game | Three JS,2088,185,173.0,1381,1430,750,0.9279411764705883,198
Shake Alert,2117,173,28.0,1163,1430,750,0.6073529411764705,207
Hangman Game,2125,174,21.0,1035,1430,750,0.41911764705882354,201
Google Ai Eradicator,2128,225,21.0,1151,1430,750,0.5897058823529412,189
Codebattles,2129,683,188.0,1191,1340,905,0.6574712643678161,29
CookSite,2142,726,74.0,1035,1364,813,0.4029038112522686,55
github-licenses-stats,2144,193,59.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,358,9.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,361,9.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,382,4.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,394,17.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,410,16.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,593,96.0,1235,1430,752,0.7123893805309734,138
github-licenses-stats,2144,639,13.0,1235,1430,752,0.7123893805309734,138
feynman,2150,350,586.0,1279,1420,809,0.7692307692307693,76
Higher or Lower: City Population,2152,219,31.0,1300,1430,750,0.8088235294117647,245
The Impossible Form,2155,239,68.0,1193,1430,750,0.6514705882352941,151
Movie List,2160,179,5.0,850,1430,750,0.14705882352941177,205
FIX-IT Hackclub Userscript,2176,207,26.0,1231,1394,813,0.7194492254733219,64
"Snipr, A Search Engine",2177,275,154.0,1215,1340,899,0.7165532879818595,31
